"LIBRARYREFERENCE","FOOTPRINT1","C","CATEGORY","COMMENT","CONFIGURATION","COPYRIGHT","CURRENT","DATASHEET","DATASHEET URL","DIGIKEY P/N","DIGIKEY PART NUMBER","DIGIKEYPARTNUMBER","FAMILY_NAME","FOOTPRINT","GENERIC_PART_NUMBER","INDUSTRY_STD_PKG_TYPE","INTERFACE","MANUFACTURER","MANUFACTURER P/N","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MEMORY TYPE","MOUNTING TYPE","NUMBER OF CIRCUITS","OPERATING TEMPERATURE","PACKAGE / CASE","PACKAGE_DESIGNATOR","PACKAGING","PIN_COUNT","POWER","PROD_ID","QUANTITY_AVAILABLE","REFDES","RESISTANCE (OHMS)","SUPPLIER DEVICE PACKAGE","TAPS","TEMPERATURE","TEMPERATURE COEFFICIENT","TOLERANCE","TYPE","VALUE","VENDOR","VOLTAGE","VOLTAGE - SUPPLY","SHEETPART","DESIGNATOR","DESCRIPTION"
"CAP FILM 2.2nF 0805","CAPC2012X09N","","","=Value","","","","","","","PCF1300CT-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2nF","","","","*","C?","Capacitor 2.2nF 0805"
"CSD16321Q5_DQH_8","DQH8","","","*","","","","","http://www.ti.com/lit/gpn/CSD16321Q5","","","","N-Channel MOSFET Transistors","","CSD16321Q5","SON","","Texas Instruments","","","","","","","","","DQH","","8","","","","RefDes","","","","","","","DEV","Value","","","","*","U?",""
"IND 10uH 10A SMD","IND_BOURNS_SRP00","","","=Value","","","","","","","SRP1270-100MCT-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10uH","","","","","L?",""
"IND 3.3�H 28A SMD","BOURNES SRP1770TA","","","=Value","","","","","","","SRP1770TA-3R3MCT-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3uH","","","","","L?",""
"LED 0603","DIOM1608X08N","","","","Single","","20mA","","","","","","","0603","","","","","","","","","","","","","","","","","","","","","","","85dC","","","","","","2.2V","","*","D?",""
"LM2937IMP-3.3/NOPB","DSO-G3/C6.4","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"LM3481","VSSOP10","","","*","","","","","","","LM3481MM/NOPBCT-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC REG CTRLR MULT TOP 10MSOP"
"MBRD835LT4G","ONSEMI DPAK-3","","","=Manufacturer Part Number","Single","","8A","","","","MBRD835LT4GOSCT-ND","","","TO-252-3","","","","","","","","","","","","","","","","","","","","","","","","","","SCHOT","","","35V","","*","D?","SHOTTKEY 35V 8A"
"OPA134UA/2K5","SOIC127P600X175-8N","","","*","","","","","","","296-26241-1-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"OPA2134UA/2K5","SOIC127P600X175-8N","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"OPA4134UA","SOIC127P600X175-14N","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Quad OPAx134 Operational Amplifier"
"Pot","70543-0002","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"RES 0.004R 2512","RESC6533X09N","","","=Value","","","","","","","P4.0MCT-ND","","","2512","","","","Panasonic","","","","","","","","","","","","1W","","","","","","","","","1%","RES","0.004R","","","","*","R?",""
"RES 1.3K 0603","RESC1608X06N","","","=Value","","","","","","","541-1.30KHCT-ND","","","0603","","","","Vishay Dale","","","","","","","","","","","","0.1W","","","","","","","","","1%","RES","1.3K","","","","*","R?",""
"RES 100K 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","0.1W","","","","","","","","","1%","","100K","","","","*","R?",""
"RES 100R 0603","RESC1608X06N","","","=Value","","","","","","","541-100SACT-ND","","","0603","","","","","","","","","","","","","","","","0.25W","","","","","","","","","1%","RES","100R","","","","*","R?",""
"RES 10K 0603","RESC1608X06N","","","=Value","","","","","","","311-10.0KHRCT-ND","","","0603","","","","Yageo","","RC0603FR-0710KL","","","","","","","","","","0.1W","","","","","","","155dC","","1%","RES","10k","","","","*","R?",""
"RES 10K 1206","RESC3216X07N","","","=Value","","","","","","311-10.0KFRCT-ND","","","","1206","","","","","","","","","","","","","","","","0.5W","","","","","","","","","1%","RES","10K","","","","*","R?",""
"RES 10R 0805","RESC2012X06N","","","=Value","","","","","","","RNCP0805FTD10R0CT-ND","","","0805","","","","","","","","","","","","","","","","0.25W","","","","","","","","","1%","RES","10R","","","","*","R?",""
"RES 13K 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","","","","","","","","","","1%","RES","13k","","","","*","R?",""
"RES 15K 0306","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","","","","","","","","","","1%","RES","15K","","","","*","R?",""
"RES 1K 0603","RESC1608X06N","","","=Value","","","","","","","P1.0KBYCT-ND","","","0603","","","","Panasonic","","ERJ-PA3F1001V","","","","","","","","","","0.25W","","","","","","","155dC","","1%","RES","1k","","","","*","R?",""
"RES 1K 0603_1","RESC1608X06N","","","=Value","","","","","","","P1.0KBYCT-ND","","","0603","","","","Panasonic","","ERJ-PA3F1001V","","","","","","","","","","0.25W","","","","","","","155dC","","1%","RES","1k","","","","*","R?",""
"RES 1M 0603","RESC1608X06N","","","=Value","","","","","","","311-1.00MHRCT-ND","","","0603","","","","","","","","","","","","","","","","0.1W","","","","","","","","","1%","","1M","","","","*","R?",""
